names,SRR1054284_1,SRR1054284_3,SRR1054284_5,SRR1054284_6,SRR1054284_7,SRR1054284_9
ENSG00000002586,0,0,0,0,1,0
ENSG00000005020,0,0,0,0,0,1
ENSG00000005700,0,0,0,1,0,0
ENSG00000005893,0,1,0,0,0,0
ENSG00000006007,0,0,0,0,0,1
ENSG00000008282,1,0,0,0,0,0
ENSG00000008283,1,0,0,0,0,0
ENSG00000008441,2,0,0,0,0,0
ENSG00000008710,0,0,0,0,0,1
ENSG00000010256,1,0,0,0,0,0
ENSG00000010404,0,0,1,0,0,0
ENSG00000011028,0,0,0,0,0,1
ENSG00000011485,0,0,0,0,1,0
ENSG00000012061,0,0,0,1,0,0
ENSG00000012223,1,0,0,0,0,0
ENSG00000013275,0,0,0,0,0,1
ENSG00000014123,0,0,0,1,0,0
ENSG00000014257,0,1,2,2,1,2
ENSG00000014919,0,0,0,0,0,1
ENSG00000017260,0,0,0,0,0,1
ENSG00000018699,0,0,0,0,1,0
ENSG00000019102,0,0,1,0,0,0
ENSG00000019582,1,0,0,0,0,0
ENSG00000021300,0,0,1,0,0,0
ENSG00000022556,0,1,0,0,0,1
ENSG00000024048,0,0,1,0,0,0
ENSG00000026025,0,0,0,1,0,0
ENSG00000026103,0,0,0,1,0,0
ENSG00000026508,0,0,0,0,1,0
ENSG00000031081,0,0,0,0,0,1
ENSG00000034510,0,0,0,0,0,1
ENSG00000037241,0,0,0,0,0,1
ENSG00000039068,0,0,0,0,0,1
ENSG00000041353,0,1,0,0,0,0
ENSG00000042445,8,9,2,8,1,11
ENSG00000044115,0,0,0,0,0,1
ENSG00000046653,0,0,0,1,0,0
ENSG00000048028,0,0,0,1,0,0
ENSG00000050327,0,1,0,0,0,0
ENSG00000051108,0,0,0,0,0,1
ENSG00000054965,0,1,0,0,0,0
ENSG00000058262,0,1,0,0,0,0
ENSG00000058668,0,1,0,0,0,0
ENSG00000060138,0,0,0,1,0,0
ENSG00000063245,0,0,0,0,1,0
ENSG00000064270,1,0,0,0,0,0
ENSG00000064607,0,0,0,1,0,0
ENSG00000064932,0,0,0,0,0,1
ENSG00000065615,1,0,0,0,0,0
ENSG00000067113,0,0,0,0,1,0
ENSG00000067225,0,1,0,0,0,0
ENSG00000067606,0,0,0,0,0,0
ENSG00000068366,0,0,0,0,0,1
ENSG00000068697,0,0,0,1,0,0
ENSG00000068745,0,1,0,0,0,0
ENSG00000070366,0,0,0,0,1,0
ENSG00000070669,0,0,0,0,0,0
ENSG00000072042,1,0,0,0,0,0
ENSG00000072134,0,1,0,0,0,0
